Date,State/Union_Territory,Total Dose
16-01-2021,Andaman and Nicobar Islands,23
17-01-2021,Andaman and Nicobar Islands,0
18-01-2021,Andaman and Nicobar Islands,19
19-01-2021,Andaman and Nicobar Islands,47
20-01-2021,Andaman and Nicobar Islands,35
21-01-2021,Andaman and Nicobar Islands,115
22-01-2021,Andaman and Nicobar Islands,313
23-01-2021,Andaman and Nicobar Islands,368
24-01-2021,Andaman and Nicobar Islands,46
25-01-2021,Andaman and Nicobar Islands,553
26-01-2021,Andaman and Nicobar Islands,0
27-01-2021,Andaman and Nicobar Islands,0
28-01-2021,Andaman and Nicobar Islands,437
29-01-2021,Andaman and Nicobar Islands,68
30-01-2021,Andaman and Nicobar Islands,36
31-01-2021,Andaman and Nicobar Islands,0
01-02-2021,Andaman and Nicobar Islands,0
02-02-2021,Andaman and Nicobar Islands,0
03-02-2021,Andaman and Nicobar Islands,47
04-02-2021,Andaman and Nicobar Islands,183
05-02-2021,Andaman and Nicobar Islands,224
06-02-2021,Andaman and Nicobar Islands,266
07-02-2021,Andaman and Nicobar Islands,0
08-02-2021,Andaman and Nicobar Islands,0
09-02-2021,Andaman and Nicobar Islands,0
10-02-2021,Andaman and Nicobar Islands,0
11-02-2021,Andaman and Nicobar Islands,0
12-02-2021,Andaman and Nicobar Islands,72
13-02-2021,Andaman and Nicobar Islands,188
14-02-2021,Andaman and Nicobar Islands,0
15-02-2021,Andaman and Nicobar Islands,427
16-02-2021,Andaman and Nicobar Islands,0
17-02-2021,Andaman and Nicobar Islands,197
18-02-2021,Andaman and Nicobar Islands,182
19-02-2021,Andaman and Nicobar Islands,1052
20-02-2021,Andaman and Nicobar Islands,755
21-02-2021,Andaman and Nicobar Islands,0
22-02-2021,Andaman and Nicobar Islands,1203
23-02-2021,Andaman and Nicobar Islands,202
24-02-2021,Andaman and Nicobar Islands,182
25-02-2021,Andaman and Nicobar Islands,523
26-02-2021,Andaman and Nicobar Islands,226
