Date,State,Confirmed,Total Confirmed,Recovered,Total_Recovered,Deceased,Total_Deceased
26-03-2020,Andaman and Nicobar Islands,1,1,0,0,0,0
27-03-2020,Andaman and Nicobar Islands,6,5,0,0,0,0
28-03-2020,Andaman and Nicobar Islands,9,3,0,0,0,0
29-03-2020,Andaman and Nicobar Islands,9,0,0,0,0,0
30-03-2020,Andaman and Nicobar Islands,10,1,0,0,0,0
31-03-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
01-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
02-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
03-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
04-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
05-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
06-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
07-04-2020,Andaman and Nicobar Islands,10,0,0,0,0,0
08-04-2020,Andaman and Nicobar Islands,11,1,0,0,0,0
09-04-2020,Andaman and Nicobar Islands,11,0,10,10,0,0
10-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
11-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
12-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
13-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
14-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
15-04-2020,Andaman and Nicobar Islands,11,0,10,0,0,0
16-04-2020,Andaman and Nicobar Islands,11,0,11,1,0,0
17-04-2020,Andaman and Nicobar Islands,12,1,11,0,0,0
18-04-2020,Andaman and Nicobar Islands,14,2,11,0,0,0
19-04-2020,Andaman and Nicobar Islands,15,1,11,0,0,0
20-04-2020,Andaman and Nicobar Islands,16,1,11,0,0,0
21-04-2020,Andaman and Nicobar Islands,17,1,11,0,0,0
22-04-2020,Andaman and Nicobar Islands,18,1,11,0,0,0
23-04-2020,Andaman and Nicobar Islands,22,4,11,0,0,0
24-04-2020,Andaman and Nicobar Islands,29,7,11,0,0,0
25-04-2020,Andaman and Nicobar Islands,33,4,11,0,0,0
26-04-2020,Andaman and Nicobar Islands,33,0,11,0,0,0
27-04-2020,Andaman and Nicobar Islands,33,0,11,0,0,0
28-04-2020,Andaman and Nicobar Islands,33,0,15,4,0,0
29-04-2020,Andaman and Nicobar Islands,33,0,15,0,0,0
30-04-2020,Andaman and Nicobar Islands,33,0,16,1,0,0
01-05-2020,Andaman and Nicobar Islands,33,0,16,0,0,0
02-05-2020,Andaman and Nicobar Islands,33,0,26,10,0,0
03-05-2020,Andaman and Nicobar Islands,33,0,32,6,0,0
04-05-2020,Andaman and Nicobar Islands,33,0,32,0,0,0
05-05-2020,Andaman and Nicobar Islands,33,0,32,0,0,0
06-05-2020,Andaman and Nicobar Islands,33,0,32,0,0,0
07-05-2020,Andaman and Nicobar Islands,33,0,33,1,0,0
08-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
09-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
10-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
11-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
12-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
13-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
14-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
15-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
16-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
17-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
18-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
19-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
20-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
21-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
22-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
23-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
24-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
25-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
26-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
27-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
28-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
29-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
30-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
31-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
01-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
02-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
03-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
04-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
05-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
07-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
